Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value,M49_country_code
2018,Naryn,Female,Non-communicable disease: Cancer,KG04,73.466476,KGZ
2019,Naryn,Female,Non-communicable disease: Cancer,KG04,76.977401,KGZ
2020,Naryn,Female,Non-communicable disease: Cancer,KG04,66.5,KGZ
2021,Naryn,Female,Non-communicable disease: Cancer,KG04,61.2,KGZ
2007,Osh,,Non-communicable disease: Cancer,KG06,38.1,KGZ
2008,Osh,,Non-communicable disease: Cancer,KG06,36.4,KGZ
2009,Osh,,Non-communicable disease: Cancer,KG06,40.7,KGZ
2010,Osh,,Non-communicable disease: Cancer,KG06,40.1,KGZ
2011,Osh,,Non-communicable disease: Cancer,KG06,43.6,KGZ
2012,Osh,,Non-communicable disease: Cancer,KG06,43.0,KGZ
2013,Osh,,Non-communicable disease: Cancer,KG06,43.0,KGZ
2014,Osh,,Non-communicable disease: Cancer,KG06,50.7,KGZ
2015,Osh,,Non-communicable disease: Cancer,KG06,50.6,KGZ
2016,Osh,,Non-communicable disease: Cancer,KG06,49.9,KGZ
2017,Osh,,Non-communicable disease: Cancer,KG06,49.1,KGZ
2018,Osh,,Non-communicable disease: Cancer,KG06,50.978916,KGZ
2019,Osh,,Non-communicable disease: Cancer,KG06,52.767528,KGZ
2020,Osh,,Non-communicable disease: Cancer,KG06,51.9,KGZ
2021,Osh,,Non-communicable disease: Cancer,KG06,45.9,KGZ
2007,Osh,Male,Non-communicable disease: Cancer,KG06,43.366409,KGZ
2008,Osh,Male,Non-communicable disease: Cancer,KG06,40.857091,KGZ
2009,Osh,Male,Non-communicable disease: Cancer,KG06,49.892704,KGZ
2010,Osh,Male,Non-communicable disease: Cancer,KG06,47.669492,KGZ
2011,Osh,Male,Non-communicable disease: Cancer,KG06,50.732218,KGZ
2012,Osh,Male,Non-communicable disease: Cancer,KG06,47.912389,KGZ
2013,Osh,Male,Non-communicable disease: Cancer,KG06,46.671127,KGZ
2014,Osh,Male,Non-communicable disease: Cancer,KG06,56.218336,KGZ
2015,Osh,Male,Non-communicable disease: Cancer,KG06,57.23852,KGZ
2016,Osh,Male,Non-communicable disease: Cancer,KG06,55.711173,KGZ
2017,Osh,Male,Non-communicable disease: Cancer,KG06,54.811206,KGZ
2018,Osh,Male,Non-communicable disease: Cancer,KG06,55.298852,KGZ
2019,Osh,Male,Non-communicable disease: Cancer,KG06,57.810219,KGZ
2020,Osh,Male,Non-communicable disease: Cancer,KG06,56.5,KGZ
2021,Osh,Male,Non-communicable disease: Cancer,KG06,50.3,KGZ
2007,Osh,Female,Non-communicable disease: Cancer,KG06,32.673637,KGZ
2008,Osh,Female,Non-communicable disease: Cancer,KG06,31.907045,KGZ
2009,Osh,Female,Non-communicable disease: Cancer,KG06,31.255679,KGZ
2010,Osh,Female,Non-communicable disease: Cancer,KG06,32.437276,KGZ
2011,Osh,Female,Non-communicable disease: Cancer,KG06,36.415061,KGZ
2012,Osh,Female,Non-communicable disease: Cancer,KG06,38.014234,KGZ
2013,Osh,Female,Non-communicable disease: Cancer,KG06,39.232337,KGZ
2014,Osh,Female,Non-communicable disease: Cancer,KG06,45.001661,KGZ
2015,Osh,Female,Non-communicable disease: Cancer,KG06,43.774319,KGZ
2016,Osh,Female,Non-communicable disease: Cancer,KG06,43.898574,KGZ
2017,Osh,Female,Non-communicable disease: Cancer,KG06,43.322981,KGZ
2018,Osh,Female,Non-communicable disease: Cancer,KG06,46.568254,KGZ
2019,Osh,Female,Non-communicable disease: Cancer,KG06,47.61194,KGZ
2020,Osh,Female,Non-communicable disease: Cancer,KG06,47.2,KGZ
2021,Osh,Female,Non-communicable disease: Cancer,KG06,41.4,KGZ
2007,Talas,,Non-communicable disease: Cancer,KG07,47.2,KGZ
2008,Talas,,Non-communicable disease: Cancer,KG07,54.7,KGZ
2009,Talas,,Non-communicable disease: Cancer,KG07,59.7,KGZ
2010,Talas,,Non-communicable disease: Cancer,KG07,66.0,KGZ
2011,Talas,,Non-communicable disease: Cancer,KG07,59.9,KGZ
2012,Talas,,Non-communicable disease: Cancer,KG07,58.5,KGZ
2013,Talas,,Non-communicable disease: Cancer,KG07,68.3,KGZ
2014,Talas,,Non-communicable disease: Cancer,KG07,68.9,KGZ
2015,Talas,,Non-communicable disease: Cancer,KG07,60.6,KGZ
2016,Talas,,Non-communicable disease: Cancer,KG07,70.7,KGZ
2017,Talas,,Non-communicable disease: Cancer,KG07,62.6,KGZ
2018,Talas,,Non-communicable disease: Cancer,KG07,59.724349,KGZ
2019,Talas,,Non-communicable disease: Cancer,KG07,61.03994,KGZ
2020,Talas,,Non-communicable disease: Cancer,KG07,75.4,KGZ
2021,Talas,,Non-communicable disease: Cancer,KG07,52.1,KGZ
2007,Talas,Male,Non-communicable disease: Cancer,KG07,52.111411,KGZ
2008,Talas,Male,Non-communicable disease: Cancer,KG07,48.845471,KGZ
2009,Talas,Male,Non-communicable disease: Cancer,KG07,69.298246,KGZ
2010,Talas,Male,Non-communicable disease: Cancer,KG07,75.324675,KGZ
2011,Talas,Male,Non-communicable disease: Cancer,KG07,60.528559,KGZ
2012,Talas,Male,Non-communicable disease: Cancer,KG07,67.001675,KGZ
2013,Talas,Male,Non-communicable disease: Cancer,KG07,65.020576,KGZ
2014,Talas,Male,Non-communicable disease: Cancer,KG07,80.906149,KGZ
2015,Talas,Male,Non-communicable disease: Cancer,KG07,65.18283,KGZ
2016,Talas,Male,Non-communicable disease: Cancer,KG07,72.713057,KGZ
2017,Talas,Male,Non-communicable disease: Cancer,KG07,70.878274,KGZ
2018,Talas,Male,Non-communicable disease: Cancer,KG07,61.363636,KGZ
2019,Talas,Male,Non-communicable disease: Cancer,KG07,58.122206,KGZ
2020,Talas,Male,Non-communicable disease: Cancer,KG07,85.2,KGZ
2021,Talas,Male,Non-communicable disease: Cancer,KG07,58.8,KGZ
2007,Talas,Female,Non-communicable disease: Cancer,KG07,42.190305,KGZ
2008,Talas,Female,Non-communicable disease: Cancer,KG07,60.498221,KGZ
2009,Talas,Female,Non-communicable disease: Cancer,KG07,50.176056,KGZ
2010,Talas,Female,Non-communicable disease: Cancer,KG07,56.570931,KGZ
2011,Talas,Female,Non-communicable disease: Cancer,KG07,59.329321,KGZ
2012,Talas,Female,Non-communicable disease: Cancer,KG07,50.0,KGZ
2013,Talas,Female,Non-communicable disease: Cancer,KG07,71.726439,KGZ
2014,Talas,Female,Non-communicable disease: Cancer,KG07,56.696795,KGZ
2015,Talas,Female,Non-communicable disease: Cancer,KG07,55.870445,KGZ
2016,Talas,Female,Non-communicable disease: Cancer,KG07,68.635275,KGZ
2017,Talas,Female,Non-communicable disease: Cancer,KG07,54.245283,KGZ
2018,Talas,Female,Non-communicable disease: Cancer,KG07,58.049536,KGZ
2019,Talas,Female,Non-communicable disease: Cancer,KG07,64.02439,KGZ
2020,Talas,Female,Non-communicable disease: Cancer,KG07,65.4,KGZ
2021,Talas,Female,Non-communicable disease: Cancer,KG07,45.3,KGZ
2007,Chui,,Non-communicable disease: Cancer,KG08,88.1,KGZ
2008,Chui,,Non-communicable disease: Cancer,KG08,91.2,KGZ
2009,Chui,,Non-communicable disease: Cancer,KG08,95.3,KGZ
2010,Chui,,Non-communicable disease: Cancer,KG08,89.6,KGZ
2011,Chui,,Non-communicable disease: Cancer,KG08,92.0,KGZ
2012,Chui,,Non-communicable disease: Cancer,KG08,91.5,KGZ
2013,Chui,,Non-communicable disease: Cancer,KG08,88.3,KGZ
2014,Chui,,Non-communicable disease: Cancer,KG08,92.7,KGZ
2015,Chui,,Non-communicable disease: Cancer,KG08,82.6,KGZ
2016,Chui,,Non-communicable disease: Cancer,KG08,94.3,KGZ
2017,Chui,,Non-communicable disease: Cancer,KG08,91.3,KGZ
2018,Chui,,Non-communicable disease: Cancer,KG08,97.487653,KGZ
2019,Chui,,Non-communicable disease: Cancer,KG08,96.580747,KGZ
2020,Chui,,Non-communicable disease: Cancer,KG08,93.3,KGZ
2021,Chui,,Non-communicable disease: Cancer,KG08,94.9,KGZ
2007,Chui,Male,Non-communicable disease: Cancer,KG08,98.326898,KGZ
2008,Chui,Male,Non-communicable disease: Cancer,KG08,93.646338,KGZ
2009,Chui,Male,Non-communicable disease: Cancer,KG08,97.394384,KGZ
2010,Chui,Male,Non-communicable disease: Cancer,KG08,98.545637,KGZ
2011,Chui,Male,Non-communicable disease: Cancer,KG08,93.913043,KGZ
2012,Chui,Male,Non-communicable disease: Cancer,KG08,98.115977,KGZ
2013,Chui,Male,Non-communicable disease: Cancer,KG08,98.919568,KGZ
2014,Chui,Male,Non-communicable disease: Cancer,KG08,102.73327,KGZ
2015,Chui,Male,Non-communicable disease: Cancer,KG08,87.338262,KGZ
2016,Chui,Male,Non-communicable disease: Cancer,KG08,104.440417,KGZ
2017,Chui,Male,Non-communicable disease: Cancer,KG08,99.599822,KGZ
2018,Chui,Male,Non-communicable disease: Cancer,KG08,105.538596,KGZ
2019,Chui,Male,Non-communicable disease: Cancer,KG08,101.452371,KGZ
2020,Chui,Male,Non-communicable disease: Cancer,KG08,103.9,KGZ
2021,Chui,Male,Non-communicable disease: Cancer,KG08,99.5,KGZ
2007,Chui,Female,Non-communicable disease: Cancer,KG08,78.163772,KGZ
2008,Chui,Female,Non-communicable disease: Cancer,KG08,88.82874,KGZ
2009,Chui,Female,Non-communicable disease: Cancer,KG08,93.261719,KGZ
2010,Chui,Female,Non-communicable disease: Cancer,KG08,80.910853,KGZ
2011,Chui,Female,Non-communicable disease: Cancer,KG08,90.100913,KGZ
2012,Chui,Female,Non-communicable disease: Cancer,KG08,85.111427,KGZ
2013,Chui,Female,Non-communicable disease: Cancer,KG08,77.997672,KGZ
2014,Chui,Female,Non-communicable disease: Cancer,KG08,82.952468,KGZ
2015,Chui,Female,Non-communicable disease: Cancer,KG08,78.009415,KGZ
2016,Chui,Female,Non-communicable disease: Cancer,KG08,84.414157,KGZ
2017,Chui,Female,Non-communicable disease: Cancer,KG08,83.243476,KGZ
2018,Chui,Female,Non-communicable disease: Cancer,KG08,89.678511,KGZ
2019,Chui,Female,Non-communicable disease: Cancer,KG08,91.851545,KGZ
2020,Chui,Female,Non-communicable disease: Cancer,KG08,83.1,KGZ
2021,Chui,Female,Non-communicable disease: Cancer,KG08,90.4,KGZ
2007,Bishkek (city),,Non-communicable disease: Cancer,KG11,82.3,KGZ
2008,Bishkek (city),,Non-communicable disease: Cancer,KG11,82.6,KGZ
2009,Bishkek (city),,Non-communicable disease: Cancer,KG11,75.8,KGZ
2010,Bishkek (city),,Non-communicable disease: Cancer,KG11,78.1,KGZ
2011,Bishkek (city),,Non-communicable disease: Cancer,KG11,69.8,KGZ
2012,Bishkek (city),,Non-communicable disease: Cancer,KG11,67.4,KGZ
2013,Bishkek (city),,Non-communicable disease: Cancer,KG11,69.3,KGZ
2014,Bishkek (city),,Non-communicable disease: Cancer,KG11,73.1,KGZ
2015,Bishkek (city),,Non-communicable disease: Cancer,KG11,76.6,KGZ
2016,Bishkek (city),,Non-communicable disease: Cancer,KG11,66.5,KGZ
2017,Bishkek (city),,Non-communicable disease: Cancer,KG11,69.1,KGZ
2018,Bishkek (city),,Non-communicable disease: Cancer,KG11,69.281561,KGZ
2019,Bishkek (city),,Non-communicable disease: Cancer,KG11,64.193734,KGZ
2020,Bishkek (city),,Non-communicable disease: Cancer,KG11,68.8,KGZ
2021,Bishkek (city),,Non-communicable disease: Cancer,KG11,61.4,KGZ
2007,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,84.714549,KGZ
2008,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,86.525932,KGZ
2009,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,80.16444,KGZ
2010,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,79.312958,KGZ
2011,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,71.020611,KGZ
2012,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,72.957198,KGZ
2013,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,70.037987,KGZ
2014,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,74.12555,KGZ
2015,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,76.627486,KGZ
2016,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,65.121413,KGZ
2017,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,68.593615,KGZ
2018,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,66.947368,KGZ
2019,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,63.74257,KGZ
2020,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,67.3,KGZ
2021,Bishkek (city),Male,Non-communicable disease: Cancer,KG11,62.7,KGZ
2007,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,80.210238,KGZ
2008,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,79.125338,KGZ
2009,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,71.952032,KGZ
2010,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,76.990376,KGZ
2011,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,68.690784,KGZ
2012,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,62.539615,KGZ
2013,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,68.609217,KGZ
2014,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,72.150364,KGZ
2015,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,76.557864,KGZ
2016,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,67.583269,KGZ
2017,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,69.560273,KGZ
2018,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,71.335927,KGZ
2019,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,64.592003,KGZ
2020,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,70.2,KGZ
2021,Bishkek (city),Female,Non-communicable disease: Cancer,KG11,60.2,KGZ
2007,Osh (city),,Non-communicable disease: Cancer,KG21,46.8,KGZ
2008,Osh (city),,Non-communicable disease: Cancer,KG21,50.5,KGZ
2009,Osh (city),,Non-communicable disease: Cancer,KG21,50.3,KGZ
2010,Osh (city),,Non-communicable disease: Cancer,KG21,46.2,KGZ
2011,Osh (city),,Non-communicable disease: Cancer,KG21,58.2,KGZ
2012,Osh (city),,Non-communicable disease: Cancer,KG21,50.4,KGZ
2013,Osh (city),,Non-communicable disease: Cancer,KG21,64.7,KGZ
2014,Osh (city),,Non-communicable disease: Cancer,KG21,52.3,KGZ
2015,Osh (city),,Non-communicable disease: Cancer,KG21,51.3,KGZ
2016,Osh (city),,Non-communicable disease: Cancer,KG21,54.9,KGZ
2017,Osh (city),,Non-communicable disease: Cancer,KG21,53.3,KGZ
2018,Osh (city),,Non-communicable disease: Cancer,KG21,65.283917,KGZ
2019,Osh (city),,Non-communicable disease: Cancer,KG21,58.823529,KGZ
2020,Osh (city),,Non-communicable disease: Cancer,KG21,52.0,KGZ
2021,Osh (city),,Non-communicable disease: Cancer,KG21,54.9,KGZ
2007,Osh (city),Male,Non-communicable disease: Cancer,KG21,50.447518,KGZ
2008,Osh (city),Male,Non-communicable disease: Cancer,KG21,61.538462,KGZ
2009,Osh (city),Male,Non-communicable disease: Cancer,KG21,61.191626,KGZ
2010,Osh (city),Male,Non-communicable disease: Cancer,KG21,54.20712,KGZ
2011,Osh (city),Male,Non-communicable disease: Cancer,KG21,70.96248,KGZ
2012,Osh (city),Male,Non-communicable disease: Cancer,KG21,56.542811,KGZ
2013,Osh (city),Male,Non-communicable disease: Cancer,KG21,67.300079,KGZ
2014,Osh (city),Male,Non-communicable disease: Cancer,KG21,48.875097,KGZ
2015,Osh (city),Male,Non-communicable disease: Cancer,KG21,50.911854,KGZ
2016,Osh (city),Male,Non-communicable disease: Cancer,KG21,64.635958,KGZ
2017,Osh (city),Male,Non-communicable disease: Cancer,KG21,44.234953,KGZ
2018,Osh (city),Male,Non-communicable disease: Cancer,KG21,73.033708,KGZ
2019,Osh (city),Male,Non-communicable disease: Cancer,KG21,55.967633,KGZ
2020,Osh (city),Male,Non-communicable disease: Cancer,KG21,52.6,KGZ
2021,Osh (city),Male,Non-communicable disease: Cancer,KG21,54.5,KGZ
2007,Osh (city),Female,Non-communicable disease: Cancer,KG21,43.478261,KGZ
2008,Osh (city),Female,Non-communicable disease: Cancer,KG21,40.298507,KGZ
2009,Osh (city),Female,Non-communicable disease: Cancer,KG21,40.178571,KGZ
2010,Osh (city),Female,Non-communicable disease: Cancer,KG21,38.834951,KGZ
2011,Osh (city),Female,Non-communicable disease: Cancer,KG21,46.546547,KGZ
2012,Osh (city),Female,Non-communicable disease: Cancer,KG21,44.676098,KGZ
2013,Osh (city),Female,Non-communicable disease: Cancer,KG21,62.271062,KGZ
2014,Osh (city),Female,Non-communicable disease: Cancer,KG21,55.475504,KGZ
2015,Osh (city),Female,Non-communicable disease: Cancer,KG21,51.626591,KGZ
2016,Osh (city),Female,Non-communicable disease: Cancer,KG21,45.769764,KGZ
2017,Osh (city),Female,Non-communicable disease: Cancer,KG21,61.694915,KGZ
2018,Osh (city),Female,Non-communicable disease: Cancer,KG21,58.009229,KGZ
2019,Osh (city),Female,Non-communicable disease: Cancer,KG21,61.509195,KGZ
2020,Osh (city),Female,Non-communicable disease: Cancer,KG21,51.4,KGZ
2021,Osh (city),Female,Non-communicable disease: Cancer,KG21,55.2,KGZ
2007,,,Non-communicable disease: Diabetes,,6.890137,KGZ
2008,,,Non-communicable disease: Diabetes,,6.843778,KGZ
2009,,,Non-communicable disease: Diabetes,,6.222949,KGZ
2010,,,Non-communicable disease: Diabetes,,5.7,KGZ
2011,,,Non-communicable disease: Diabetes,,5.802673,KGZ
2012,,,Non-communicable disease: Diabetes,,5.332144,KGZ
2013,,,Non-communicable disease: Diabetes,,6.9,KGZ
2014,,,Non-communicable disease: Diabetes,,7.2,KGZ
2015,,,Non-communicable disease: Diabetes,,6.0,KGZ
2016,,,Non-communicable disease: Diabetes,,6.7,KGZ
2017,,,Non-communicable disease: Diabetes,,6.8,KGZ
2018,,,Non-communicable disease: Diabetes,,7.3,KGZ
2019,,,Non-communicable disease: Diabetes,,7.0,KGZ
2020,,,Non-communicable disease: Diabetes,,9.8,KGZ
2021,,,Non-communicable disease: Diabetes,,7.1,KGZ
2007,,Male,Non-communicable disease: Diabetes,,6.464522,KGZ
2008,,Male,Non-communicable disease: Diabetes,,5.869797,KGZ
2009,,Male,Non-communicable disease: Diabetes,,5.420258,KGZ
2010,,Male,Non-communicable disease: Diabetes,,4.945709,KGZ
2011,,Male,Non-communicable disease: Diabetes,,5.141955,KGZ
2012,,Male,Non-communicable disease: Diabetes,,5.053604,KGZ
2013,,Male,Non-communicable disease: Diabetes,,5.658309,KGZ
2014,,Male,Non-communicable disease: Diabetes,,6.720477,KGZ
2015,,Male,Non-communicable disease: Diabetes,,5.188375,KGZ
2016,,Male,Non-communicable disease: Diabetes,,5.412226,KGZ
2017,,Male,Non-communicable disease: Diabetes,,6.184493,KGZ
2018,,Male,Non-communicable disease: Diabetes,,6.378161,KGZ
2019,,Male,Non-communicable disease: Diabetes,,6.461481,KGZ
2020,,Male,Non-communicable disease: Diabetes,,9.0,KGZ
2021,,Male,Non-communicable disease: Diabetes,,5.8,KGZ
2007,,Female,Non-communicable disease: Diabetes,,7.304465,KGZ
2008,,Female,Non-communicable disease: Diabetes,,7.791919,KGZ
2009,,Female,Non-communicable disease: Diabetes,,7.005061,KGZ
2010,,Female,Non-communicable disease: Diabetes,,6.416066,KGZ
2011,,Female,Non-communicable disease: Diabetes,,6.446991,KGZ
2012,,Female,Non-communicable disease: Diabetes,,5.604117,KGZ
2013,,Female,Non-communicable disease: Diabetes,,8.090727,KGZ
2014,,Female,Non-communicable disease: Diabetes,,7.595538,KGZ
2015,,Female,Non-communicable disease: Diabetes,,6.847721,KGZ
2016,,Female,Non-communicable disease: Diabetes,,7.985398,KGZ
2017,,Female,Non-communicable disease: Diabetes,,7.388926,KGZ
2018,,Female,Non-communicable disease: Diabetes,,8.251239,KGZ
2019,,Female,Non-communicable disease: Diabetes,,7.623966,KGZ
2020,,Female,Non-communicable disease: Diabetes,,10.7,KGZ
2021,,Female,Non-communicable disease: Diabetes,,8.3,KGZ
2007,Batken,,Non-communicable disease: Diabetes,KG05,8.072175,KGZ
2008,Batken,,Non-communicable disease: Diabetes,KG05,5.651048,KGZ
2009,Batken,,Non-communicable disease: Diabetes,KG05,4.64684,KGZ
2010,Batken,,Non-communicable disease: Diabetes,KG05,4.115226,KGZ
2011,Batken,,Non-communicable disease: Diabetes,KG05,3.146775,KGZ
2012,Batken,,Non-communicable disease: Diabetes,KG05,5.509035,KGZ
2013,Batken,,Non-communicable disease: Diabetes,KG05,4.522938,KGZ
2014,Batken,,Non-communicable disease: Diabetes,KG05,5.892256,KGZ
2015,Batken,,Non-communicable disease: Diabetes,KG05,6.165228,KGZ
2016,Batken,,Non-communicable disease: Diabetes,KG05,7.026701,KGZ
2017,Batken,,Non-communicable disease: Diabetes,KG05,6.096362,KGZ
2018,Batken,,Non-communicable disease: Diabetes,KG05,5.390836,KGZ
2019,Batken,,Non-communicable disease: Diabetes,KG05,7.341867,KGZ
2020,Batken,,Non-communicable disease: Diabetes,KG05,8.3,KGZ
2021,Batken,,Non-communicable disease: Diabetes,KG05,10.8,KGZ
2007,Batken,Male,Non-communicable disease: Diabetes,KG05,7.940215,KGZ
2008,Batken,Male,Non-communicable disease: Diabetes,KG05,2.777778,KGZ
2009,Batken,Male,Non-communicable disease: Diabetes,KG05,3.652968,KGZ
2010,Batken,Male,Non-communicable disease: Diabetes,KG05,1.349528,KGZ
2011,Batken,Male,Non-communicable disease: Diabetes,KG05,3.542958,KGZ
2012,Batken,Male,Non-communicable disease: Diabetes,KG05,6.076389,KGZ
2013,Batken,Male,Non-communicable disease: Diabetes,KG05,5.086901,KGZ
2014,Batken,Male,Non-communicable disease: Diabetes,KG05,7.036424,KGZ
2015,Batken,Male,Non-communicable disease: Diabetes,KG05,6.464646,KGZ
2016,Batken,Male,Non-communicable disease: Diabetes,KG05,7.498027,KGZ
2017,Batken,Male,Non-communicable disease: Diabetes,KG05,5.795981,KGZ
2018,Batken,Male,Non-communicable disease: Diabetes,KG05,6.049149,KGZ
2019,Batken,Male,Non-communicable disease: Diabetes,KG05,8.130081,KGZ
2020,Batken,Male,Non-communicable disease: Diabetes,KG05,9.0,KGZ
2021,Batken,Male,Non-communicable disease: Diabetes,KG05,6.4,KGZ
2007,Batken,Female,Non-communicable disease: Diabetes,KG05,8.208595,KGZ
2008,Batken,Female,Non-communicable disease: Diabetes,KG05,8.62482,KGZ
2009,Batken,Female,Non-communicable disease: Diabetes,KG05,5.676443,KGZ
2010,Batken,Female,Non-communicable disease: Diabetes,KG05,6.973501,KGZ
2011,Batken,Female,Non-communicable disease: Diabetes,KG05,2.738476,KGZ
2012,Batken,Female,Non-communicable disease: Diabetes,KG05,4.923903,KGZ
2013,Batken,Female,Non-communicable disease: Diabetes,KG05,3.940455,KGZ
2014,Batken,Female,Non-communicable disease: Diabetes,KG05,4.708904,KGZ
2015,Batken,Female,Non-communicable disease: Diabetes,KG05,5.855291,KGZ
2016,Batken,Female,Non-communicable disease: Diabetes,KG05,6.538619,KGZ
2017,Batken,Female,Non-communicable disease: Diabetes,KG05,6.407689,KGZ
2018,Batken,Female,Non-communicable disease: Diabetes,KG05,4.707729,KGZ
2019,Batken,Female,Non-communicable disease: Diabetes,KG05,6.523408,KGZ
2020,Batken,Female,Non-communicable disease: Diabetes,KG05,7.5,KGZ
2021,Batken,Female,Non-communicable disease: Diabetes,KG05,15.5,KGZ
2007,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,6.578947,KGZ
2008,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,9.104552,KGZ
2009,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,8.374384,KGZ
2010,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,7.670648,KGZ
2011,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,7.939545,KGZ
2012,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,7.602065,KGZ
2013,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,9.558824,KGZ
2014,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,10.622974,KGZ
2015,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,8.991537,KGZ
2016,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,8.552177,KGZ
2017,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,8.815801,KGZ
2018,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,10.39501,KGZ
2019,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,10.43535,KGZ
2020,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,16.0,KGZ
2021,Jalal-Abad,,Non-communicable disease: Diabetes,KG03,13.1,KGZ
2007,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,6.881198,KGZ
2008,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,8.8,KGZ
2009,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,7.678677,KGZ
2010,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,6.789525,KGZ
2011,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,8.024455,KGZ
2012,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,7.494847,KGZ
2013,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,6.601871,KGZ
2014,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,9.872554,KGZ
2015,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,8.428446,KGZ
2016,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,6.017882,KGZ
2017,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,7.418648,KGZ
2018,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,7.439246,KGZ
2019,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,8.587168,KGZ
2020,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,15.6,KGZ
2021,Jalal-Abad,Male,Non-communicable disease: Diabetes,KG03,10.0,KGZ
2007,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,6.276574,KGZ
2008,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,9.409409,KGZ
2009,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,9.071189,KGZ
2010,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,8.553655,KGZ
2011,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,7.854406,KGZ
2012,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,7.709665,KGZ
2013,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,12.529943,KGZ
2014,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,11.378003,KGZ
2015,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,9.559214,KGZ
2016,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,11.111111,KGZ
2017,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,10.228435,KGZ
2018,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,13.386881,KGZ
2019,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,12.307187,KGZ
2020,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,16.4,KGZ
2021,Jalal-Abad,Female,Non-communicable disease: Diabetes,KG03,16.3,KGZ
2007,Issyk-Kul,,Non-communicable disease: Diabetes,KG02,10.366275,KGZ
2008,Issyk-Kul,,Non-communicable disease: Diabetes,KG02,6.186984,KGZ
